User_ID,Product_ID,Category,Price,Rating,Browsing_Time,Previous_Purchases,Cart_Addition,Purchase_Status,Age,Gender,Location,Discount_Applied,Total_Spending
100001,5033,2,1360,2,0.0,0,0,0,56,1,3,0,0
100002,5038,3,4272,2,64.0,0,0,0,46,0,3,0,0
100003,5266,5,3592,2,0.0,0,0,0,32,1,5,0,0
100004,5120,1,966,2,2.666666667,0,0,0,25,1,6,0,0
100005,5191,1,4926,2,627.5,2,0,0,38,1,3,0,0
100006,5255,5,3944,2,154.2166667,3,0,0,56,0,3,0,0
100007,5044,5,3671,2,0.0,0,0,0,36,1,1,1,0
100008,5199,7,3419,2,0.0,0,0,0,40,1,3,0,0
100009,5236,5,630,2,37.0,0,0,0,28,1,6,1,0
100010,5180,3,2185,2,738.0,0,0,0,28,0,3,1,0
100011,5267,5,1269,2,395.0,0,0,0,41,1,1,0,0
100012,5075,5,2891,2,407.75,3,0,0,53,1,8,1,0
100013,5088,5,2933,2,280.5,1,0,0,57,1,3,0,0
100014,5076,5,1684,2,98.0,1,0,0,41,1,3,0,0
100015,5173,5,3885,2,68.0,0,0,0,20,0,1,0,0
100016,5052,5,4617,2,1721.285119,4,0,0,39,1,5,0,0
100017,5105,5,3404,2,0.0,0,0,0,19,0,8,0,0
100018,5103,1,974,2,334.9666667,2,0,0,41,0,3,0,0
100019,5154,5,1582,2,32.0,0,0,0,47,0,3,0,0
100020,5256,1,3058,2,2981.166667,4,0,0,55,1,8,0,0
100021,5281,2,2547,2,136.1666667,1,0,0,19,0,0,1,0
100022,5034,5,3247,2,0.0,0,0,0,38,1,3,0,0
100023,5275,7,1475,2,105.0,0,0,0,50,0,3,0,0
100024,5180,5,2306,2,15.0,0,0,0,29,0,3,1,0
100025,5252,2,689,2,0.0,0,0,0,39,0,8,0,0
100026,5164,5,3234,2,156.0,1,0,0,42,0,5,0,0
100027,5051,5,3505,2,1200.044444,6,0,0,44,0,3,0,0
100028,5110,5,2399,2,76.0,0,0,0,59,0,3,0,0
